IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.122.95,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,78,10.25
132.145.123.159,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,76,10.16
132.145.127.21,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,83,10.14
132.145.127.21,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,80,10.12
152.70.106.13,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,75,10.11
152.70.111.251,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,79,10.11
151.145.75.28,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,90,10.1
132.226.14.155,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,78,10.02
158.101.149.52,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,79,9.99
158.179.191.14,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,75,9.95
132.226.6.5,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,81,9.92
132.145.122.95,80,80,FALSE,NRT,Asia Pacific,Tokyo,76,9.89
141.147.167.44,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,80,9.84
138.3.216.67,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,96,9.83
152.70.111.251,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,77,9.82
152.70.111.251,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,80,9.82
141.147.169.195,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,78,9.76
